Year;Rank;Name;Citizenship;Country Code;Net Worth Billion;Age;Industry Aggregates;Selfmade;Generation of Inheritance;Type of Wealth;Industry;Relationship to Company;Gender;Source of Wealth;Sector;Company;Company type;Founding Date;Political Connection;GDP Currentus;Region;Notes;Notes 2;Deflator 1996;Real Net Worth;Characteristics
2014;663;A. Jerrold Perenchio;United States;USA;2.6;83.0;Non-Traded Sectors;self-made;;executive;Media;former chairman and CEO;male;television, Univision;media;Univision;aquired;1955;;;North America;represented Marlon Brando and Elizabeth Taylor;;138.802093506;1.87317049503;North,Founder,Real Billionaires
2014;1284;Akio Nitori;Japan;JPN;1.3;70.0;Non-Traded Sectors;self-made;;founder non-finance;Retail, Restaurant;founder;male;retail;home furnishings;Nitori;new;1967;;;East Asia;;;138.802093506;0.936585247517;North,Founder,Real Billionaires
2014;354;Akira Mori;Japan;JPN;4.2;77.0;Financial;inherited;inherited from father;inherited;Real Estate;relation;male;real estate;construction;Mori Building;new;1959;;;East Asia;inherited from father;;;;North,Founder
2014;396;Alain Merieux;France;FRA;3.8;76.0;New Sectors;inherited;Third generation;inherited;Technology-Medical;relation;male;pharmaceuticals;pharmaceuticals;Institut Merieux;new;1897;;;Europe;founded BioMerieux himself in 1963;3rd generation;;;North,Founder
2014;764;Alexander Mamut;Russia;RUS;2.3;54.0;Financial;self-made;;privatized and resources;Diversified financial;investor;male;investments;technology;Livejournal;new;1999;1.0;;Europe;advisor to Boris Yeltsin;;138.802093506;1.65703547001;North,Founder,Real Billionaires
2014;609;Alexandra Schorghuber;Germany;DEU;2.8;55.0;Financial;inherited;spouse or widow;inherited;Real Estate;relation;female;real estate;real estate;Schorghuber Group;new;1954;;;Europe;widow;;138.802093506;2.01726055145;North,Founder,Real Billionaires
1996;122;Alfred Heineken;Netherlands;NLD;2.59999990463;0.0;Traded Sectors;inherited;inherited from father;inherited;Consumer;relation;female;;beer;Heineken International;new;1864;;442598692810.0;Europe;inherited 3 billion pounds upon death of father in 2002;only child;100.000007629;2.59999966621;North,Founder,Real Billionaires
1996;294;Alfred Lerner;United States;USA;1.39999997616;0.0;0.0;self-made;;executive;Other;chairman;male;;credit cards;MBNA;subsidiary;1982;;8100200000000.0;North America;;;100.000007629;1.39999985695;North,Founder,Real Billionaires
2001;69;Alfred Lerner;United States;USA;5.09999990463;;0.0;self-made;;executive;Other;chairman;male;;credit cards;MBNA;subsidiary;1982;;10621824000000.0;North America;;;109.114585876;4.67398548126;North,Founder,Real Billionaires
2014;1078;Alfred Oetker;Germany;DEU;1.65;47.0;Traded Sectors;inherited;Fourth generation;inherited;Consumer;relation;male;consumer goods;retail;Oetker-Gruppe;new;1891;;;Europe;4th generation;;138.802093506;1.18874287605;North,Founder,Real Billionaires
2014;1442;Alfredo Egydio Arruda Villela Filho;Brazil;BRA;1.15;44.0;Financial;inherited;inherited from father;inherited;Money Management;relation;male;banking;banking;Itausa Investimentos Itau SA;new;1966;;;Latin America;inherited from parents;;138.802093506;0.828517735004;North,Founder,Real Billionaires
2014;13;Alice Walton;United States;USA;34.3;64.0;Non-Traded Sectors;inherited;inherited from father;inherited;Retail, Restaurant;relation;female;Wal-Mart;retail;Walmart;new;1962;;;North America;inherited from father;;138.802093506;24.7114429474;North,Founder,Real Billionaires
2014;267;Anders Holch Povlsen;Denmark;DEN;5.3;41.0;Non-Traded Sectors;inherited;inherited from father;inherited;Retail, Restaurant;relation;male;retail;fashion;Bestseller;new;1975;;;Europe;inherited from parents;;138.802093506;3.8183863163;North,Founder,Real Billionaires
2014;731;Andrej Babis;Czech Republic;CZE;2.4;59.0;Traded Sectors;self-made;;executive;Consumer;owner and former CEO;male;agriculture;agriculteral;Agrofert;new;1993;;;Europe;;;138.802093506;1.72908055782;North,Founder,Real Billionaires
2014;97;Andrey Melnichenko;Russia;RUS;11.4;41.0;Resource Related;self-made;;privatized and resources;Energy;founder;male;coal, fertilizers;banking;MDM Bank;new;1993;;;Europe;;;138.802093506;8.2131319046;North,Founder,Real Billionaires
2014;305;Ann Walton Kroenke;United States;USA;4.8;65.0;Non-Traded Sectors;inherited;inherited from father;inherited;Retail, Restaurant;relation;female;Wal-Mart;retail;Walmart;new;1962;;;North America;inherited from father;not involved in company;138.802093506;3.45816111565;North,Founder,Real Billionaires
2014;1565;Anne Beaufour;France;FRA;1.0;50.0;New Sectors;inherited;Third generation;inherited;Technology-Medical;relation;female;pharmaceuticals;pharmaceuticals;Ipsen;new;1929;;;Europe;3rd generation;;138.802093506;0.720450222492;North,Founder,Real Billionaires
2001;387;Anthony Bamford;United Kingdom;GBR;1.29999995232;55.0;Non-Traded Sectors;inherited;inherited from father;inherited;Constrution;relation;male;;heavy equiptment (excavators, backhoes and tractors);JCB;new;1945;;1529094573200.0;Europe;inherited from father;;109.114585876;1.19140803814;North,Founder,Real Billionaires
2001;421;Archie Aldis Emmerson;United States;USA;1.20000004768;71.0;Resource Related;self-made;;privatized and resources;Mining and metals;founder;male;;lumber, real estate;Sierra Pacific Industries;new;1949;;10621824000000.0;North America;;;109.114585876;1.09976136684;North,Founder,Real Billionaires
2014;375;Arkady Rotenberg;Russia;RUS;4.0;62.0;Non-Traded Sectors;self-made;;privatized and resources;Constrution;owner;male;construction, pipes, banking;construction;SGM Group, Mostotrest, TPS Avia;new, privitization;1930;1.0;;Europe;"judo sparring partner with president Putin; president of the multi-championship-winning hockey club Dynamo Moscow, which used to be sponsored by the KGB.";;138.802093506;2.88180088997;North,Founder,Real Billionaires
2014;408;Axel Oberwelland;Germany;DEU;3.7;47.0;Traded Sectors;inherited;Fourth generation;inherited;Consumer;relation;male;candy;candy;Storck;new;1903;;;Europe;4th generation;;138.802093506;2.66566586494;North,Founder,Real Billionaires
1996;288;Ayhan Sahenk;Turkey;TUR;1.39999997616;0.0;Financial;self-made;;self-made finance;Money Management;founder;male;;construction;Dogus Holding;new;1951;;181475555283.0;Middle East/North Africa;;;100.000007629;1.39999985695;North,Founder,Real Billionaires
2014;1372;Ayman Hariri;Lebanon;LBN;1.2;35.0;Non-Traded Sectors;inherited;inherited from father;inherited;Constrution;relation;male;construction, investments;construction;Saudi Oger;aquired;1978;;;Middle East/North Africa;inherited from father;;138.802093506;0.864540278912;North,Founder,Real Billionaires
2014;687;Belmiro de Azevedo;Portugal;PRT;2.5;75.0;Non-Traded Sectors;self-made;;executive;Retail, Restaurant;chairman;male;retail;retail;Sonae SGPS;aquired;1959;;;Europe;nationalized in 1974 and reprivitized later;;138.802093506;1.80112552643;North,Founder,Real Billionaires
2014;354;Bernard Ecclestone;United Kingdom;GBR;4.2;83.0;0.0;self-made;;executive;Other;investor and  CEO;male;Formula One;racing;Formula One Group;aquired;1978;;;Europe;;;;;North,Founder
2001;130;Bernard Marcus;United States;USA;3.29999995232;71.0;Non-Traded Sectors;self-made;;founder non-finance;Retail, Restaurant;founder;male;;home improvement retail;Home Depot;new;1979;;10621824000000.0;North America;;;109.114585876;3.0243434906;North,Founder,Real Billionaires
2014;687;Bernardo Matte;Chile;CHL;2.5;58.0;Traded Sectors;inherited;inherited from father;inherited;Consumer;relation;male;paper;timber and paper;CMPC;new;1920;;;Latin America;inherited from father;;138.802093506;1.80112552643;North,Founder,Real Billionaires
2014;796;Bill Marriott, Jr.;United States;USA;2.2;81.0;Financial;inherited;inherited from father;inherited;Real Estate;relation;male;hotels;hotels;Marriot;new;1927;;;North America;inherited from father, CEO for 40 years;;138.802093506;1.5849905014;North,Founder,Real Billionaires
2014;1442;Brij Bhushan Singal;India;IND;1.15;77.0;Resource Related;self-made;;privatized and resources;Non-consumer industrial;founder;male;steel;steel;Bhushan Steel;new;1987;;;South Asia;;;138.802093506;0.828517735004;North,Founder,Real Billionaires
2014;869;Carl Bennet;Sweden;SWE;2.0;62.0;Financial;self-made;;self-made finance;Diversified financial;investor;male;investments;investments;Carl Bennet AB;new;1989;;;Europe;;;138.802093506;1.44090044498;North,Founder,Real Billionaires
2014;869;Carlos Hank Rhon;Mexico;MEX;2.0;66.0;Financial;self-made;;privatized and resources;Money Management;founder;male;banking;banking;Grupo Financiero Interacciones;new;1992;1.0;;Latin America;son of prominent Mexian politician;;;;North,Founder
2001;336;Carlos Peralta;Mexico;MEX;1.5;49.0;Non-Traded Sectors;inherited;inherited from father;inherited;Media;relation;male;;construction;Groupo IUSA;new;1939;;724703571307.0;Latin America;inherited from father;Carlos Peralta Quintero, a billionaire who heads Grupo Iusa, one of Mexico's largest companies and the Mexican partner of Bell Atlantic, says that in April 1994 he gave the $50 million to Raul Salinas de Gortari, no receipts given and no questi;109.114585876;1.37470161915;North,Founder,Real Billionaires
2014;256;Carlos and Alejandro Bulgheroni;Argentina;ARG;5.5;;Resource Related;inherited;inherited from father;inherited;Energy;relation;male;oil and gas;oil;Bridas Energy;new;1948;;;Latin America;inherited from family;;138.802093506;3.96247625351;North,Founder,Real Billionaires
2014;65;Charles Ergen;United States;USA;15.0;61.0;Non-Traded Sectors;self-made;;founder non-finance;Media;founder;male;Dish Network;media;dish networtk;new;1980;;;North America;;;138.802093506;10.8067531586;North,Founder,Real Billionaires
2014;6;Charles Koch;United States;USA;40.0;78.0;Financial;inherited;inherited from father;inherited;Diversified financial;relation;male;diversified;Oil refining;Koch industries;new;1940;;;North America;inherited from father;;138.802093506;28.8180084229;North,Founder,Real Billionaires
2014;141;Charoen Sirivadhanabhakdi;Thailand;THA;9.0;69.0;Traded Sectors;self-made;;privatized and resources;Consumer;founder;male;beverages;alcohol;ThaiBev;privatization;1941;1.0;;East Asia;used contacts to aquire licence to produce alcohol despite state-run monopoly;;138.802093506;6.48405218124;North,Founder,Real Billionaires
1996;92;Chatri Sophonpanich;Thailand;THA;3.09999990463;0.0;Financial;inherited;;inherited;Money Management;relation;male;;banking;Bangkok Bank;new;1944;;181947631905.0;East Asia;;;100.000007629;3.09999966621;North,Founder,Real Billionaires
2014;1540;Chen Miaolin;China;CHN;1.05;61.0;Financial;self-made;;self-made finance;Real Estate;founder;male;hotels;hotels;New Century Group;;;;;East Asia;;;138.802093506;0.756472706795;North,Founder,Real Billionaires
1996;24;Cheng Yu-tung;Hong Kong;HKG;5.5;70.0;Financial;inherited;inherited from father;inherited;Real Estate;relation;male;;real estate;Chow Tai Fook Enterprises;new;1929;;159717233622.0;East Asia;inherited from father-in-law;at least two stores, on in HK, on in Macao when he inherited;100.000007629;5.49999952316;North,Founder,Real Billionaires
2014;1143;Christoph Henkel;Germany;DEU;1.55;;Traded Sectors;inherited;inherited from father;inherited;Consumer;relation;male;consumer goods;cleaning products;Henkel Ag;new;1876;;;Europe;cites father as reason company became global powerhouse;;138.802093506;1.11669778824;North,Founder,Real Billionaires
1996;328;Conle famle;Germany;DEU;1.20000004768;0.0;Non-Traded Sectors;;;executive;Retail, Restaurant;;;;real estate;Sirosa;;;;2501572654020.0;Europe;;;100.000007629;1.19999992847;North,Founder,Real Billionaires
1996;68;Curt Engelhorn;Germany;DEU;3.59999990463;69.0;New Sectors;inherited;Fourth generation;inherited;Technology-Medical;relation;male;;pharmaceuticals;BASF/Boehringer Mannheim/DePuy;new;1865;;2501572654020.0;Europe;4th generation;;100.000007629;3.59999966621;North,Founder,Real Billionaires
2014;1356;Daniel Harrison, III.;United States;USA;1.25;66.0;Resource Related;inherited;Third generation;inherited;Energy;relation;male;oil and gas;oil and gas;Shell Oil;new;1921;;;North America;3rd generation;;138.802093506;0.900562763214;North,Founder,Real Billionaires
2014;796;Daniel Loeb;United States;USA;2.2;52.0;Financial;self-made;;self-made finance;Hedge funds;founder;male;hedge funds;hedge funds;Third Point LLC;new;1995;;;North America;;;138.802093506;1.5849905014;North,Founder,Real Billionaires
2014;663;Danil Khachaturov;Russia;RUS;2.6;42.0;Financial;self-made;;privatized and resources;Hedge funds;chairman;male;insurance, banking, real estate;insurance;Rosgosstrakh;privatization;1921;;;Europe;privitized in 2003;;138.802093506;1.87317049503;North,Founder,Real Billionaires
2014;1210;David Walentas;United States;USA;1.4;75.0;Financial;self-made;;self-made finance;Real Estate;founder;male;real estate;real estate;Dumbo;new;1979;;;North America;;;138.802093506;1.00863027573;North,Founder,Real Billionaires
2001;421;Dirk Ziff;United States;USA;1.20000004768;36.0;Financial;inherited;Third generation;inherited;Hedge funds;relation;male;;publishing;Ziff Davis Inc;new;1928;;10621824000000.0;North America;3rd generation;no sisters;109.114585876;1.09976136684;North,Founder,Real Billionaires
1996;192;Djuhar Sutanto;Indonesia;IDN;2.0;0.0;Financial;self-made;;self-made finance;Diversified financial;founder;male;;consumer goods;Salim Group;new;1952;;227369671349.0;East Asia;;;100.000007629;1.99999988079;North,Founder,Real Billionaires
2014;1565;Dmitry Korzhev;Russia;RUS;1.0;50.0;Non-Traded Sectors;self-made;;founder non-finance;Retail, Restaurant;founder;male;retail;auto retail;Mega-Auto;new;1993;;;Europe;;;138.802093506;0.720450222492;North,Founder,Real Billionaires
2014;147;Dmitry Rybolovlev;Russia;RUS;8.8;47.0;Traded Sectors;self-made;;executive;Consumer;owner;male;fertilizer;fertilizer;Uralkali;aquired;1930;;;Europe;;;138.802093506;6.33996200562;North,Founder,Real Billionaires
2001;138;Donald Fisher;United States;USA;3.20000004768;72.0;Non-Traded Sectors;self-made;;founder non-finance;Retail, Restaurant;founder;male;;clothing;The Gap;new;1969;;10621824000000.0;North America;;;109.114585876;2.93269681931;North,Founder,Real Billionaires
2001;387;Donald Sturm;United States;USA;1.29999995232;;Financial;self-made;;self-made finance;Money Management;owner;male;;investments;Peter Kiewit Sons;new;1884;;10621824000000.0;North America;became major shareholder in company as a result of good litigation;;109.114585876;1.19140803814;North,Founder,Real Billionaires
2014;388;Donald Trump;United States;USA;3.9;67.0;Non-Traded Sectors;inherited;inherited from father;inherited;Media;relation;male;Television, Real Estate;real estate;The Trump Organization;new;1920;;;North America;inherited from father;;138.802093506;2.80975604057;North,Founder,Real Billionaires
2014;869;Drayton McLane, Jr.;United States;USA;2.0;77.0;Non-Traded Sectors;inherited;;inherited;Retail, Restaurant;relation;male;Wal-Mart, logistics;groceries;McLane Company;new;1894;;;North America;He was largely responsible for expanding the family business from a three million dollar a year operation into a 19 billion dollar enterprise;3rd generation;138.802093506;1.44090044498;North,Founder,Real Billionaires
1996;116;Edgar Bronfman;United States;USA;2.70000004768;67.0;Traded Sectors;inherited;inherited from father;inherited;Consumer;relation;male;;liquor;Seagrams;new;1857;;8100200000000.0;North America;inherited from father;;100.000007629;2.69999980927;North,Founder,Real Billionaires
2001;130;Edgar Bronfman;United States;USA;3.29999995232;72.0;Traded Sectors;inherited;inherited from father;inherited;Consumer;relation;male;;liquor;Seagrams;new;1857;;10621824000000.0;North America;inherited from father;;109.114585876;3.0243434906;North,Founder,Real Billionaires
1996;32;Eka Tjipta Widjaja;Indonesia;IDN;5.09999990463;0.0;Financial;self-made;;self-made finance;Diversified financial;founder;male;;banking;Sinar Mas Group;new;1962;;227369671349.0;East Asia;;;100.000007629;5.0999994278;North,Founder,Real Billionaires
2001;387;Eliodoro Matte;Chile;CHL;1.29999995232;55.0;Traded Sectors;inherited;inherited from father;inherited;Consumer;relation;male;;timber and paper;CMPC;new;1920;;72336972322.4;Latin America;inherited from father;;109.114585876;1.19140803814;North,Founder,Real Billionaires
1996;199;Emilio Botin;Spain;ESP;2.0;61.0;Financial;inherited;inherited from father;inherited;Money Management;relation;male;;banking;Grupo Santander;new;1857;;640998292395.0;Europe;inherited from father;;100.000007629;1.99999988079;North,Founder,Real Billionaires
2014;167;Emmanuel Besnier;France;FRA;7.9;43.0;Traded Sectors;inherited;inherited from father;inherited;Consumer;relation;male;cheese;cheese;Lactalis;new;1933;;;Europe;inherited from father;CEO, sister is shareholder;138.802093506;5.69155693054;North,Founder,Real Billionaires
2014;354;Enrique Razon;Philippines;PHL;4.2;54.0;Financial;inherited;inherited from father;inherited;Real Estate;relation;male;ports;port containers;International Containter Terminal Services;new;1940;;;East Asia;inherited from father;;;;North,Founder
2001;98;Erivan Haub;Germany;DEU;4.0;68.0;Non-Traded Sectors;inherited;Third generation;inherited;Retail, Restaurant;relation;male;;retail;Tenglemann Group;new;1867;;1947928411630.0;Europe;3rd generation;;109.114585876;3.66587114334;North,Founder,Real Billionaires
2001;222;Ernest Stempel;Bermuda;BMU;2.09999990463;84.0;New Sectors;self-made;;executive;Technology-Medical;chairman;male;;insurance;AIG;new;1919;;3680483000.0;0.0;;;109.114585876;1.92458224297;North,Founder,Real Billionaires
2001;182;Eugenio Garza Lagnera;Mexico;MEX;2.5;;0.0;inherited;Third generation;inherited;0.0;relation;male;;beverages;Femsa;new;1890;;724703571307.0;Latin America;3rd generation;;109.114585876;2.29116940498;North,Founder,Real Billionaires
2014;1465;Fang Wei;China;CHN;1.1;40.0;Traded Sectors;self-made;;executive;Non-consumer industrial;chairman;male;manufacturing;mining;Fangda International Industrial Investment;new;2002;;;East Asia;;;138.802093506;0.792495250702;North,Founder,Real Billionaires
2014;931;Fayez Sarofim;United States;USA;1.9;85.0;Financial;self-made;;self-made finance;Money Management;relation;male;money management;money management;Fayez Sarofim & Co;new;1958;;;North America;inherited title from family, built fortune;;138.802093506;1.36885547638;North,Founder,Real Billionaires
1996;28;Fong Teng;Hong Kong;HKG;5.19999980927;0.0;Traded Sectors;inherited;inherited from father;inherited;Consumer;relation;male;;real estate;Sino Group;new;1970;;159717233622.0;East Asia;inherited from father;;100.000007629;5.19999933243;North,Founder,Real Billionaires
2014;31;Forrest Mars, Jr.;United States;USA;20.0;82.0;Traded Sectors;inherited;Third generation;inherited;Consumer;relation;male;candy;candy;Mars, Incorperated;new;1911;;;North America;3rd generation;;138.802093506;14.4090042114;North,Founder,Real Billionaires
2014;483;Francis Choi;Hong Kong;HKG;3.3;66.0;Financial;self-made;;self-made finance;Real Estate;founder;male;real estate;toys;Early Light International;new;1972;;;East Asia;;;138.802093506;2.37748575211;North,Founder,Real Billionaires
2001;336;Frank Batten;United States;USA;1.5;74.0;Non-Traded Sectors;self-made;;founder non-finance;Media;founder;male;;media;The Weather Channel;new;1982;;10621824000000.0;North America;;;109.114585876;1.37470161915;North,Founder,Real Billionaires
2001;312;Gary Magness;United States;USA;1.60000002384;47.0;Non-Traded Sectors;inherited;inherited from father;inherited;Media;relation;male;;cable;TCI;new;1968;;10621824000000.0;North America;inherited from father;;109.114585876;1.46634840965;North,Founder,Real Billionaires
2001;234;Gary Winnick;United States;USA;2.0;;Financial;self-made;;self-made finance;Money Management;founder;male;;fiber optic cables;Global Crossing limited;new;1997;;10621824000000.0;North America;;;109.114585876;1.83293557167;North,Founder,Real Billionaires
2001;234;Georg Thyssen-Bornemisza;Switzerland;CHE;2.0;;Traded Sectors;inherited;Third generation;inherited;Non-consumer industrial;relation;male;;steel;TBG (Thyssen-Bornemisza Group) Holdings;new;1926;;278628762740.0;Europe;3rd generation;;109.114585876;1.83293557167;North,Founder,Real Billionaires
2014;295;George Lucas;United States;USA;4.9;69.0;Non-Traded Sectors;self-made;;founder non-finance;Media;founder;male;Star Wars;Star Wars;Lucasfilm;new;1971;;;North America;;;138.802093506;3.53020620346;North,Founder,Real Billionaires
2001;124;Gerard Louis-Dreyfus;France;FRA;3.40000009537;68.0;Financial;inherited;Fourth generation;inherited;Money Management;relation;male;;energy;Louis Dreyfus Group;new;1851;;1382218344520.0;Europe;4th generation;;109.114585876;3.11599040031;North,Founder,Real Billionaires
1996;21;Gerard Mulliez;France;FRA;5.69999980927;0.0;Non-Traded Sectors;self-made;;founder non-finance;Retail, Restaurant;founder;male;;retail;Auchan;new;1961;;1614245416080.0;Europe;;;100.000007629;5.69999933243;North,Founder,Real Billionaires
2001;387;Germain Lamonde;Canada;CAN;1.29999995232;;Non-Traded Sectors;self-made;;founder non-finance;Media;founder;male;;service assurance instruments;EXFO;new;1985;;732716942149.0;North America;;;109.114585876;1.19140803814;North,Founder,Real Billionaires
1996;132;Goroemon Yoshimoto;Japan;JPN;2.5;0.0;Financial;;;executive;Real Estate;;;;;;;;;4706187126020.0;East Asia;;;100.000007629;2.49999976158;North,Founder,Real Billionaires
2014;191;Graeme Hart;New Zealand;NZL;7.0;58.0;Financial;self-made;;self-made finance;Diversified financial;founder;male;investments;private equity;Rank Group;new;1987;;;North America;;;138.802093506;5.04315137863;North,Founder,Real Billionaires
2014;408;Guenther Fielmann;Germany;DEU;3.7;74.0;0.0;self-made;;founder non-finance;Other;founder;male;optometry;glasses;Fielmann AG;new;1972;;;Europe;;;;;North,Founder
2014;988;H. Ross Perot, Jr.;United States;USA;1.8;55.0;New Sectors;inherited;inherited from father;inherited;Technology-Computer;relation;male;computer services, real estate;data processing;Electronic Data Systems;new;1962;;;North America;CEO of Perot Systems (founded in 1988 by Ross Perot Sr);;138.802093506;1.29681038857;North,Founder,Real Billionaires
2014;931;Hans Melchers;Netherlands;NLD;1.9;75.0;Traded Sectors;self-made;;executive;Non-consumer industrial;relation;male;chemicals, investments;investments;HAL Investments;new;1873;;;Europe;bought company from his father and improved it;;138.802093506;1.36885547638;North,Founder,Real Billionaires
2014;92;Hans Rausing;Sweden;SWE;12.0;87.0;Traded Sectors;inherited;inherited from father;inherited;Consumer;relation;male;packaging;food packaging;Tetra Pak;new;1944;;;Europe;inherited from father;;138.802093506;8.64540290833;North,Founder,Real Billionaires
2014;147;Hasso Plattner;Germany;DEU;8.8;70.0;New Sectors;self-made;;founder non-finance;Technology-Computer;founder;male;software;software;SAP AG;new;1972;;;Europe;;;138.802093506;6.33996200562;North,Founder,Real Billionaires
2014;190;He Xiangjian;China;CHN;7.1;71.0;Traded Sectors;self-made;;founder non-finance;Consumer;founder;male;appliances;appliances;Midea;new;1968;;;East Asia;;;138.802093506;5.11519670486;North,Founder,Real Billionaires
2014;186;Heinz Hermann Thiele;Germany;DEU;7.2;72.0;Traded Sectors;self-made;;executive;Consumer;Chairman/shareholder;male;brakes;brake systems;Knorr-Bremse AG;new;1905;;;Europe;;;;;North,Founder
2014;731;Henry Fong Yun Wah;Hong Kong;HKG;2.4;89.0;Financial;self-made;;self-made finance;Real Estate;founder;male;real estate;real estate;Hip Shing Hong Group;new;1948;;;East Asia;;;138.802093506;1.72908055782;North,Founder,Real Billionaires
1996;126;Henry Hillman;United States;USA;2.59999990463;77.0;Financial;inherited;inherited from father;inherited;Money Management;relation;male;;coal;Pittsburgh Coke & Chemical;new;1942;;8100200000000.0;North America;inherited from father;;100.000007629;2.59999966621;North,Founder,Real Billionaires
2014;687;Hubert Burda;Germany;DEU;2.5;74.0;Non-Traded Sectors;inherited;inherited from father;inherited;Media;relation;male;publishing;media;Hubert Burda Media;new;1898;;;Europe;company expanded between 1898 and 1945;;138.802093506;1.80112552643;North,Founder,Real Billionaires
2014;1356;Hubert d'Ornano;France;FRA;1.25;87.0;Traded Sectors;self-made;;founder non-finance;Consumer;founder;male;cosmetics;cosmetics;Sisley Cosmetics;new;1976;;;Europe;son of Lancome cofounder;;138.802093506;0.900562763214;North,Founder,Real Billionaires
2014;1046;Igor Altushkin;Russia;RUS;1.7;43.0;Resource Related;self-made;;privatized and resources;Mining and metals;founder;male;metals;metals;Russian Copper Company;new;1997;;;Europe;;;138.802093506;1.22476541996;North,Founder,Real Billionaires
2014;234;Ira Rennert;United States;USA;6.0;79.0;Financial;self-made;;self-made finance;Diversified financial;founder;male;investments;investment;Renco;new;1975;;;North America;Used junk bonds to finance his acquisitions of companies;;138.802093506;4.32270145416;North,Founder,Real Billionaires
2001;272;Irwin Jacobs;United States;USA;1.79999995232;67.0;New Sectors;self-made;;founder non-finance;Technology-Computer;founder;male;;software;Qualcomm;new;1985;;10621824000000.0;North America;;;109.114585876;1.64964187145;North,Founder,Real Billionaires
2014;1210;J. Joe Ricketts;United States;USA;1.4;72.0;Financial;self-made;;self-made finance;Money Management;founder;male;TD Ameritrade;banking;TD Ameritrade;new;1975;;;North America;;;138.802093506;1.00863027573;North,Founder,Real Billionaires
2001;31;Jacqueline Mars;;USA;9.0;;Traded Sectors;inherited;Third generation;inherited;Consumer;relation;female;;candy;Mars, Incorperated;new;1911;;10621824000000.0;North America;3rd generation;;109.114585876;8.24820995331;North,Founder,Real Billionaires
2001;90;James Arthur and John Irving;Canada;CAN;4.40000009537;;Resource Related;inherited;Third generation;inherited;Energy;relation;male;;timber;J.D. Irving;new;1882;;732716942149.0;North America;grandfather built timber business, father built oil business;;109.114585876;4.03245830536;North,Founder,Real Billionaires
1996;274;James Cargill;United States;USA;1.5;71.0;Financial;inherited;Third generation;inherited;Money Management;relation;male;;food processing/commodities;Cargill;new;1865;;8100200000000.0;North America;3rd generation;;100.000007629;1.49999988079;North,Founder,Real Billionaires
2014;506;James Cargill, II.;United States;USA;3.2;64.0;Financial;inherited;Third generation;inherited;Money Management;relation;male;Cargill Inc.;food processing/commodities;Cargill;new;1865;;;North America;3rd generation;;138.802093506;2.30544066429;North,Founder,Real Billionaires
1996;95;Jassim Al-Kharafi;Kuwait;KWT;3.0;0.0;Financial;inherited;inherited from father;inherited;Money Management;relation;male;;diversified investments;Kharafi Group;new;1956;;31492936825.5;Middle East/North Africa;inherited from father;;100.000007629;2.99999976158;North,Founder,Real Billionaires
2001;490;Jerry Yang;United States;USA;1.0;32.0;New Sectors;self-made;;founder non-finance;Technology-Computer;founder;male;;software;Yahoo!;new;1994;;10621824000000.0;North America;;;109.114585876;0.916467785835;North,Founder,Real Billionaires
1996;145;Abigail Johnson;United States;USA;2.5;34.0;Financial;inherited;Third generation;inherited;Money Management;relation;female;;investment banking;Fidelity Investments;new;1946;;8100200000000.0;North America;3rd generation;no male siblings;100.000007629;2.49999976158;North,Founder,Real Billionaires
1996;162;Adrian and John Swire;Hong Kong;HKG;2.20000004768;0.0;Financial;inherited;Fourth generation;inherited;Money Management;relation;male;;trading company;Swire;new;1816;;159717233622.0;East Asia;fourth generation?;;100.000007629;2.19999980927;North,Founder,Real Billionaires
2001;251;Akihiko Otsuka;Japan;JPN;1.89999997616;;New Sectors;inherited;inherited from father;inherited;Technology-Medical;relation;male;;pharmaceuticals;Otsuka Holdings;new;1921;;4159859918090.0;East Asia;inherited from father?;;109.114585876;1.74128866196;North,Founder,Real Billionaires
2014;764;Alexander Ponomarenko;Russia;RUS;2.3;49.0;Financial;self-made;;privatized and resources;Real Estate;chairman;male;port;port;NCSP Group;privatization;1957;;;Europe;sold back to russian govt in 2011;;138.802093506;1.65703547001;North,Founder,Real Billionaires
2014;609;Alexandre Soares dos Santos;Portugal;PRT;2.8;79.0;Non-Traded Sectors;inherited;Third generation;inherited;Retail, Restaurant;relation;male;retail;groceries;Jeronimo Martins;new;1792;;;Europe;3rd generation in the family business, which as controlled company since 1921;;;;North,Founder
2014;609;Alfred Taubman;United States;USA;2.8;90.0;Financial;self-made;;self-made finance;Real Estate;founder;male;real estate;real estate (shopping malls);Taubman Centers;new;1950;;;North America;went to prision for comission-fixing with Anthony Tennant (Christies);;138.802093506;2.01726055145;North,Founder,Real Billionaires
2014;1284;Allan Wong;Hong Kong;HKG;1.3;64.0;New Sectors;self-made;;founder non-finance;Technology-Computer;founder;male;electronics;electronics;VTech Holding;new;1976;;;East Asia;;;138.802093506;0.936585247517;North,Founder,Real Billionaires
2014;1465;Ana Lucia de Mattos Barretto Villela;Brazil;BRA;1.1;40.0;Financial;inherited;inherited from father;inherited;Money Management;relation;female;banking;banking;Itausa Investimentos Itau SA;new;1966;;;Latin America;inherited from parents;;138.802093506;0.792495250702;North,Founder,Real Billionaires
2014;1565;Andrew Gotianun;Philippines;PHL;1.0;86.0;Financial;self-made;;self-made finance;Real Estate;founder;male;real estate;real estate;Filinvest Development Corporation;new;1955;;;East Asia;;;138.802093506;0.720450222492;North,Founder,Real Billionaires
